CVE_AGEB,NOM_MUN,VIVPAR_DES,VIVTOT,TVIVPAR,VIVPAR_HAB,VPH_PISOTI,VPH_NODREN,VPH_S_ELEC,VPH_SNBIEN,VPH_1CUART,VPH_LETR,PRO_OCUP_C,VPH_INTER,VPH_AUTOM,VPH_PC,VPH_REFRI,GRAPROES,n_bancos,n_cafes,n_inmobiliarias,n_empenos,n_usados,n_yonques,TASA_PISO_TIERRA,TASA_SIN_DRENAJE,TASA_SIN_ELEC,TASA_SIN_BIENES,TASA_1_CUARTO,TASA_LETRINA,HACINAMIENTO,SCORE_REZAGO,TASA_ABANDONO,abandono_alto
2601800010531,Cajeme,199.0,1333,1324.0,1090.0,9.0,7.0,5.0,7.0,31.0,0.0,0.77,656.0,604.0,443.0,1056.0,10.07,0,0,0,0,0,0,0.008257,0.006422,0.004587,0.006422,0.02844,,0.77,0.137355,0.149287,0
2601800010546,Cajeme,50.0,625,611.0,547.0,0.0,0.0,0.0,0.0,3.0,0.0,0.52,477.0,460.0,402.0,560.0,12.86,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.005484,0.0,0.52,0.075069,0.08,0
2601800010550,Cajeme,113.0,794,773.0,646.0,0.0,0.0,0.0,0.0,3.0,0.0,0.51,601.0,594.0,507.0,664.0,13.57,0,15,2,0,0,0,,0.0,0.0,0.0,0.004644,0.0,0.51,0.085774,0.142317,0
2601800010565,Cajeme,51.0,542,519.0,460.0,4.0,0.0,0.0,0.0,3.0,0.0,0.47,446.0,462.0,376.0,483.0,13.99,0,10,0,0,0,0,0.008696,0.0,0.0,0.0,0.006522,0.0,0.47,0.069317,0.094096,0
260180001057A,Cajeme,39.0,416,369.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,354.0,354.0,321.0,374.0,13.98,3,9,8,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.47,0.078333,0.09375,0
2601800010584,Cajeme,15.0,82,77.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,53.0,50.0,39.0,62.0,11.2,19,5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.078571,0.182927,1
2601800010601,Cajeme,185.0,958,946.0,714.0,5.0,0.0,0.0,0.0,7.0,0.0,0.58,618.0,596.0,497.0,716.0,12.99,0,4,0,0,0,0,0.007003,0.0,,0.0,0.009804,0.0,0.58,0.099468,0.193111,1
2601800010616,Cajeme,177.0,1117,1103.0,893.0,3.0,5.0,6.0,7.0,14.0,0.0,0.65,563.0,546.0,385.0,870.0,10.35,0,1,0,0,0,0,0.003359,0.005599,0.006719,0.007839,0.015677,0.0,0.65,0.098456,0.15846,0
2601800010620,Cajeme,175.0,1595,1563.0,1354.0,0.0,0.0,0.0,3.0,16.0,0.0,0.69,978.0,830.0,716.0,1371.0,11.12,2,4,0,0,0,0,,0.0,,0.002216,0.011817,0.0,0.69,0.140807,0.109718,0
2601800010635,Cajeme,43.0,414,398.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,343.0,334.0,289.0,359.0,14.21,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.074286,0.103865,0
260180001064A,Cajeme,153.0,684,681.0,510.0,0.0,0.0,0.0,0.0,12.0,0.0,0.63,355.0,342.0,302.0,497.0,11.77,0,4,1,0,0,0,,,,,0.023529,,0.63,0.326764,0.223684,1
2601800010654,Cajeme,147.0,638,628.0,464.0,3.0,0.0,3.0,4.0,4.0,0.0,0.58,314.0,304.0,257.0,466.0,12.0,2,2,2,0,0,0,0.006466,,0.006466,0.008621,0.008621,0.0,0.58,0.101696,0.230408,1
2601800010669,Cajeme,91.0,353,351.0,232.0,0.0,0.0,0.0,0.0,4.0,0.0,0.57,170.0,148.0,141.0,229.0,12.5,2,10,3,0,0,0,0.0,,,,0.017241,0.0,0.57,0.14681,0.25779,1
2601800010673,Cajeme,22.0,115,112.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,48.0,41.0,43.0,54.0,13.23,19,13,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.082857,0.191304,1
2601800010688,Cajeme,12.0,60,59.0,41.0,0.0,0.0,0.0,0.0,3.0,0.0,0.84,17.0,20.0,13.0,36.0,9.73,13,7,1,0,0,0,,,,,0.073171,0.0,0.84,0.30439,0.2,1
2601800010692,Cajeme,44.0,180,178.0,126.0,0.0,0.0,0.0,0.0,5.0,0.0,0.77,84.0,77.0,60.0,125.0,11.22,18,6,0,0,0,0,,0.0,0.0,0.0,0.039683,0.0,0.77,0.134947,0.244444,1
2601800010705,Cajeme,124.0,466,465.0,294.0,3.0,0.0,0.0,0.0,4.0,0.0,0.59,189.0,180.0,155.0,287.0,11.44,2,0,2,0,0,0,0.010204,,0.0,,0.013605,0.0,0.59,0.122762,0.266094,1
260180001071A,Cajeme,306.0,1727,1715.0,1359.0,29.0,7.0,10.0,14.0,41.0,0.0,0.76,712.0,679.0,522.0,1287.0,9.8,0,5,1,0,0,0,0.021339,0.005151,0.007358,0.010302,0.030169,,0.76,0.139053,0.177186,1
2601800010724,Cajeme,117.0,829,826.0,678.0,0.0,0.0,4.0,4.0,10.0,0.0,0.69,442.0,432.0,346.0,658.0,11.77,2,1,0,0,0,0,0.0,,0.0059,0.0059,0.014749,0.0,0.69,0.119425,0.141134,0
2601800010739,Cajeme,107.0,538,537.0,400.0,7.0,0.0,0.0,0.0,9.0,0.0,0.69,248.0,212.0,187.0,383.0,10.71,1,2,0,0,0,0,0.0175,0.0,,0.0,0.0225,0.0,0.69,0.121667,0.198885,1
2601800010743,Cajeme,116.0,498,496.0,349.0,0.0,0.0,3.0,4.0,14.0,0.0,0.63,201.0,193.0,173.0,330.0,11.24,5,2,1,0,0,0,,,0.008596,0.011461,0.040115,,0.63,0.172543,0.232932,1
