CVE_AGEB,VALOR_CATASTRAL_MAX
2603000010023,4115.0
2603000010076,833.0
2603000010095,3330.0
2603000010112,6415.0
2603000010131,2376.0
2603000010146,1548.0
2603000010150,698.0
260300001017A,698.0
2603000010199,1900.0
2603000010216,1493.0
2603000010220,1493.0
2603000010339,1245.0
2603000010343,2913.0
2603000010358,1270.0
2603000010362,3119.0
2603000010377,2090.0
2603000010381,2865.0
2603000010396,354.0
2603000010409,1871.0
2603000010428,1059.0
2603000010432,1493.0
2603000010466,2530.0
260300001049A,1270.0
2603000010502,1570.0
2603000010517,3330.0
2603000010521,1221.0
2603000010540,4160.0
2603000010555,1352.0
260300001056A,1379.0
2603000010593,1412.0
2603000010606,1352.0
2603000010610,3330.0
2603000010625,5725.0
260300001063A,1308.0
2603000010644,4860.0
2603000010659,4860.0
2603000010678,3155.0
2603000010682,2865.0
2603000010697,4160.0
260300001070A,3853.0
2603000010729,1371.0
2603000010790,856.0
2603000010894,1270.0
2603000010907,2010.0
2603000010911,3330.0
2603000010945,3155.0
260300001095A,1985.0
2603000011055,906.0
260300001106A,2090.0
2603000011074,5725.0
2603000011093,3957.0
2603000011106,1243.0
2603000011125,1264.0
260300001113A,1455.0
2603000011144,1308.0
2603000011159,4160.0
2603000011197,1352.0
260300001120A,5080.0
2603000011233,1871.0
2603000011286,1243.0
2603000011290,1493.0
2603000011303,1379.0
2603000011318,4160.0
2603000011322,3957.0
2603000011394,1335.0
2603000011407,1243.0
2603000011426,6415.0
2603000011430,1412.0
2603000011445,1871.0
260300001145A,3155.0
2603000011464,1630.0
2603000011498,5744.0
2603000011515,1281.0
2603000011534,1254.0
2603000011746,2134.0
2603000011750,2414.0
260300001177A,1967.0
2603000011799,2262.0
2603000011835,1967.0
260300001184A,3303.0
2603000011854,6637.0
2603000011869,3303.0
2603000011873,4402.0
2603000011888,7042.0
2603000011905,4306.0
260300001191A,4306.0
2603000011924,2971.0
2603000011939,3303.0
2603000011943,3303.0
2603000011958,7042.0
2603000011996,4306.0
2603000012000,2971.0
2603000012015,7428.0
260300001202A,11723.0
2603000012049,4306.0
2603000012068,2971.0
2603000012072,4873.0
2603000012087,2971.0
2603000012091,3428.0
2603000012195,1635.0
2603000012208,1831.0
2603000012246,2294.0
2603000012250,2294.0
2603000012265,1439.0
2603000012299,1222.0
2603000012335,1728.0
260300001234A,1728.0
2603000012354,1581.0
2603000012373,1574.0
2603000012388,2191.0
2603000012405,1574.0
2603000012443,4382.0
2603000012458,4945.0
2603000012462,5045.0
2603000012477,8191.0
2603000012481,9238.0
2603000012509,1293.0
2603000012513,1940.0
2603000012528,1586.0
2603000012532,1293.0
2603000012547,1406.0
2603000012551,1864.0
2603000012570,1553.0
2603000012585,2091.0
2603000012602,1749.0
2603000012617,5330.0
2603000012621,5085.0
2603000012636,5134.0
2603000012640,10655.0
2603000012655,12148.0
2603000012706,7325.0
2603000012710,7325.0
260300001273A,7325.0
2603000012744,1049.0
2603000012763,2126.0
2603000012778,1079.0
260300001280A,1711.0
2603000012852,1439.0
2603000012886,1850.0
2603000012890,2134.0
2603000012903,1706.0
2603000012918,2134.0
2603000012922,2134.0
2603000012937,5601.0
2603000012941,5601.0
2603000012956,5412.0
2603000012960,5412.0
2603000012975,3352.0
260300001298A,4873.0
2603000012994,7325.0
2603000013009,7042.0
2603000013013,12105.0
2603000013028,15139.0
2603000013032,4873.0
2603000013047,7325.0
2603000013051,13593.0
2603000013066,7325.0
2603000013070,1635.0
2603000013085,1831.0
2603000013225,4088.0
260300001323A,1052.0
2603000013244,1308.0
2603000013259,1367.0
2603000013263,1366.0
2603000013278,3632.0
2603000013282,7042.0
2603000013297,1404.0
260300001330A,1455.0
2603000013314,1455.0
2603000013329,1404.0
2603000013333,3068.0
2603000013348,5412.0
2603000013352,4873.0
2603000013367,2948.0
2603000013371,7325.0
2603000013386,7325.0
2603000013390,4115.0
2603000013418,1919.0
2603000013422,1134.0
2603000013437,924.0
2603000013441,1346.0
2603000013456,992.0
2603000013460,1243.0
260300001483A,1243.0
2603000014844,4088.0
2603000014859,6698.0
2603000014863,3859.0
2603000014878,5739.0
260300001490A,1401.0
2603000014914,1602.0
2603000014929,1560.0
2603000014933,8611.0
2603000014948,1243.0
2603000014952,1243.0
2603000014967,1243.0
2603000014971,1243.0
2603000014986,1673.0
2603000014990,1458.0
2603000015005,1049.0
2603000015039,5060.0
2603000015043,5178.0
2603000015058,3859.0
2603000015062,1222.0
2603000015077,2262.0
2603000015081,2262.0
2603000015096,2134.0
2603000015109,1967.0
2603000015113,3632.0
2603000015128,2463.0
2603000015132,924.0
2603000015151,1372.0
2603000015166,1372.0
2603000015170,1458.0
2603000015185,1488.0
260300001519A,7325.0
2603000015202,7325.0
2603000015217,2136.0
2603000015221,1025.0
2603000015236,1025.0
2603000015240,4873.0
2603000015255,2948.0
260300001526A,1293.0
2603000015274,1293.0
2603000015289,1406.0
2603000015293,1406.0
2603000015306,1961.0
2603000015310,1850.0
2603000015325,1422.0
260300001533A,1722.0
2603000015344,1150.0
2603000015359,1581.0
2603000015363,2948.0
2603000015378,2948.0
2603000015382,1281.0
2603000015397,1222.0
260300001540A,1466.0
2603000015414,1466.0
2603000015429,2971.0
2603000015433,3428.0
2603000015448,1662.0
2603000015452,1662.0
2603000015467,2262.0
2603000015471,3390.0
2603000015486,1809.0
2603000015490,1749.0
2603000015503,2262.0
2603000015518,2262.0
2603000015522,2262.0
2603000015537,2262.0
2603000015560,2856.0
2603000015575,4088.0
260300001558A,4088.0
2603000015594,1401.0
2603000015607,2673.0
2603000015611,4633.0
2603000015626,1706.0
2603000015630,1924.0
2603000015645,2000.0
260300001565A,1961.0
2603000015664,1139.0
2603000015679,1900.0
2603000015683,9385.0
2603000015698,9385.0
2603000015700,2191.0
2603000015715,1401.0
260300001572A,2447.0
2603000015734,1270.0
2603000015749,2376.0
2603000015753,1308.0
2603000015768,1275.0
2603000015772,2098.0
2603000015823,943.0
2603000015838,910.0
2603000015842,910.0
2603000015857,894.0
2603000015876,894.0
2603000015908,905.0
2603000015912,905.0
2603000015927,698.0
2603000015965,2164.0
260300001597A,1560.0
2603000015984,2867.0
2603000015999,2867.0
2603000016003,1309.0
2603000016018,2867.0
2603000016022,2218.0
2603000016037,1226.0
2603000016041,2570.0
2603000016056,2570.0
2603000016060,2570.0
2603000016075,1875.0
260300001608A,698.0
2603000016126,894.0
2603000016130,924.0
2603000016145,1275.0
260300001615A,992.0
2603000016164,1297.0
2603000016179,1243.0
2603000016183,1139.0
2603000016198,1308.0
2603000016200,1799.0
2603000016215,1673.0
260300001622A,1744.0
2603000016234,905.0
2603000016304,1270.0
2603000016319,3700.0
2603000016323,1270.0
2603000016338,2447.0
2603000016342,1222.0
2603000016357,1421.0
2603000016361,2376.0
2603000016376,2066.0
2603000016380,698.0
2603000016395,2098.0
2603000016431,1297.0
2603000016446,3465.0
2603000016450,1297.0
2603000016465,1493.0
260300001647A,1297.0
2603000016624,2675.0
2603000016639,1270.0
2603000016643,3700.0
2603000016658,1324.0
2603000016662,1957.0
2603000016677,3550.0
2603000016681,1809.0
2603000016696,2066.0
2603000016709,2376.0
2603000016713,2066.0
2603000016728,6415.0
2603000016732,4215.0
2603000016747,6698.0
2603000016751,698.0
2603000016766,1308.0
2603000016770,1308.0
2603000016785,1308.0
2603000016802,1297.0
2603000016817,1297.0
2603000016821,1297.0
2603000016836,1297.0
2603000016840,1458.0
2603000016855,1259.0
260300001686A,1275.0
2603000016874,856.0
2603000016906,747.0
2603000016910,2098.0
2603000016925,2913.0
260300001693A,2913.0
2603000016944,2458.0
2603000016959,2180.0
2603000016963,2458.0
2603000016978,2458.0
2603000016982,2830.0
2603000016997,5134.0
2603000017001,833.0
2603000017016,833.0
2603000017020,1324.0
2603000017035,1473.0
260300001704A,1548.0
2603000017054,1690.0
2603000017069,4944.0
2603000017073,698.0
2603000017088,1744.0
2603000017092,1295.0
2603000017105,1297.0
2603000017143,2098.0
2603000017158,1371.0
2603000017162,1777.0
2603000017177,3119.0
2603000017181,5134.0
2603000017196,2856.0
2603000017209,2151.0
2603000017213,906.0
2603000017228,1324.0
2603000017232,1357.0
2603000017247,3330.0
2603000017251,3330.0
2603000017266,1957.0
2603000017270,6415.0
2603000017285,2066.0
260300001729A,5725.0
2603000017302,4082.0
2603000017317,2458.0
2603000017321,1439.0
2603000017336,1308.0
2603000017340,1145.0
2603000017355,3465.0
260300001736A,1297.0
2603000017389,1595.0
260300001743A,2098.0
2603000017444,1432.0
2603000017459,9385.0
2603000017463,5134.0
2603000017482,1292.0
2603000017497,1292.0
260300001750A,2191.0
2603000017514,2151.0
2603000017529,2447.0
2603000017548,4235.0
2603000017552,1117.0
2603000017567,1128.0
2603000017571,1957.0
2603000017586,1183.0
2603000017603,1297.0
2603000017637,1245.0
2603000017641,1371.0
2603000017656,2180.0
2603000017660,2180.0
2603000017675,2180.0
260300001768A,2180.0
2603000017694,5135.0
2603000017707,5172.0
2603000017711,1690.0
2603000017798,1570.0
2603000017800,1308.0
2603000017815,3550.0
260300001782A,2066.0
2603000017834,5258.0
2603000017849,5314.0
2603000017853,4945.0
2603000017868,1308.0
