,TASA_PISO_TIERRA,TASA_SIN_DRENAJE,TASA_SIN_ELEC,TASA_SIN_BIENES,TASA_1_CUARTO,TASA_LETRINA,HACINAMIENTO,SCORE_REZAGO,PRO_OCUP_C,VPH_INTER,VPH_AUTOM,VPH_PC,VPH_REFRI,GRAPROES,n_bancos,n_cafes,n_inmobiliarias,n_empenos,n_usados,n_yonques,VALOR_CATASTRAL_MAX,abandono_alto
2603000010023,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4115.0,0
2603000010076,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,833.0,0
2603000010080,0.0,0.0,0.020513,0.015385,0.0,0.0,1.13,0.194316,1.13,58.0,64.0,53.0,180.0,9.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603000010095,0.0066555,0.0,0.0,0.008287,0.014925,0.0,1.07,0.269572,1.07,221.0,229.0,137.0,371.0,10.2,0.0,1.0,0.0,0.0,0.0,0.0,3330.0,0
2603000010108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142857,1.0,60.0,49.0,39.0,74.0,11.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010112,0.0066555,0.0,0.0,0.0,0.0,0.0,0.73,0.121667,0.73,313.0,335.0,295.0,344.0,14.69,0.0,0.0,0.0,0.0,0.0,0.0,6415.0,0
2603000010131,0.0,0.0,0.0,0.0,0.013841,0.0,0.61,0.08912,0.61,296.0,299.0,281.0,302.0,15.12,0.0,0.0,0.0,0.0,0.0,0.0,2376.0,0
2603000010146,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0
2603000010150,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,1.0,0.0,0.0,0.0,0.0,698.0,0
260300001017A,0.272727,0.0,0.0,0.0,0.363636,0.272727,1.67,0.368441,1.67,223.0,5.0,159.0,12.0,8.14,0.0,0.0,0.0,0.0,0.0,0.0,698.0,0
2603000010199,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.134286,0.94,30.0,19.0,7.0,30.0,11.37,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,1
2603000010216,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.165,0.99,32.0,29.0,22.0,57.0,10.31,0.0,0.0,0.0,0.0,0.0,0.0,1493.0,0
2603000010220,0.0,0.0,0.0,0.0,0.014925,0.0,1.4,0.233333,1.4,0.0,218.0,0.0,309.0,8.43,0.0,0.0,0.0,0.0,0.0,0.0,1493.0,0
260300001024A,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010273,0.0066555,0.0,0.0,0.0,0.014925,0.0,1.38,0.276,1.38,0.0,218.0,0.0,309.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010288,0.0066555,0.0,0.0,0.0,0.014925,0.0,1.32,0.264,1.32,0.0,218.0,0.0,3.0,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010292,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010305,0.0,0.0,0.0,0.0,0.014925,0.0,1.45,0.29,1.45,223.0,5.0,4.0,9.0,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
260300001031A,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010324,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010339,0.023121,0.0,0.0,0.0,0.017341,0.0,0.91,0.13578,0.91,219.0,224.0,160.0,262.0,13.34,0.0,0.0,0.0,0.0,0.0,0.0,1245.0,1
2603000010343,0.004149,0.0,0.0,0.0,0.0,0.0,0.76,0.127358,0.76,597.0,659.0,548.0,750.0,13.59,0.0,0.0,0.0,0.0,0.0,0.0,2913.0,0
2603000010358,0.0066555,0.0,0.0,0.0,0.0,0.0,0.98,0.196,0.98,68.0,83.0,66.0,131.0,11.12,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,1
2603000010362,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.09,0.63,122.0,124.0,113.0,124.0,15.17,0.0,0.0,1.0,0.0,0.0,0.0,3119.0,1
2603000010377,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,0
2603000010381,0.107143,0.0,0.357143,0.0,0.107143,0.25,1.04,0.310238,1.04,5.0,12.0,5.0,17.0,8.51,0.0,0.0,0.0,0.0,0.0,0.0,2865.0,1
2603000010396,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.11,0.77,328.0,342.0,281.0,383.0,13.52,0.0,0.0,0.0,0.0,0.0,0.0,354.0,1
2603000010409,0.0066555,0.0,0.0,0.008721,0.0,0.0,1.05,0.211744,1.05,196.0,212.0,115.0,327.0,10.71,2.0,0.0,1.0,0.0,0.0,0.0,1871.0,0
2603000010413,0.6,0.0,0.0,0.0,0.6,1.0,1.29,0.698,1.29,0.0,0.0,0.0,309.0,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603000010428,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.86,0.158587,0.86,223.0,218.0,159.0,309.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,1059.0,0
2603000010432,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.175,1.05,17.0,17.0,6.0,33.0,9.64,0.0,0.0,0.0,0.0,0.0,0.0,1493.0,0
2603000010466,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.097143,0.68,114.0,120.0,111.0,120.0,15.87,0.0,0.0,0.0,0.0,0.0,0.0,2530.0,0
2603000010470,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.117143,0.82,321.0,352.0,287.0,407.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
260300001049A,0.0,0.007264,0.009685,0.007264,0.014925,0.0,1.13,0.192369,1.13,105.0,171.0,77.0,377.0,9.33,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,0
2603000010502,0.0,0.0,0.0,0.006462,0.0,0.0,1.11,0.186077,1.11,400.0,310.0,234.0,581.0,10.26,0.0,1.0,0.0,0.0,0.0,0.0,1570.0,0
2603000010517,0.0066555,0.0,0.0,0.0,0.0,0.0,1.05,0.2625,1.05,500.0,455.0,300.0,763.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,3330.0,0
2603000010521,0.0066555,0.0,0.0,0.0,0.0,0.0,1.13,0.226,1.13,177.0,247.0,140.0,467.0,9.79,0.0,0.0,0.0,0.0,0.0,0.0,1221.0,1
2603000010536,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.175,1.05,27.0,29.0,19.0,43.0,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010540,0.0066555,0.0,0.0,0.0,0.0,0.0,0.64,0.106667,0.64,179.0,181.0,169.0,184.0,15.62,0.0,0.0,1.0,0.0,0.0,0.0,4160.0,0
2603000010555,0.004373,0.0,0.0,0.0,0.004373,0.0,1.09,0.219749,1.09,397.0,414.0,253.0,685.0,10.46,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,0
260300001056A,0.0066555,0.0,0.0,0.0,0.0,0.0,0.87,0.29,0.87,388.0,383.0,223.0,587.0,11.17,0.0,2.0,0.0,0.0,0.0,0.0,1379.0,0
2603000010574,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.118571,0.83,253.0,270.0,193.0,343.0,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010593,0.0066555,0.0,0.0,0.003106,0.014925,0.0,1.02,0.255777,1.02,823.0,655.0,412.0,1264.0,9.72,0.0,0.0,0.0,0.0,0.0,0.0,1412.0,0
2603000010606,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.148571,1.04,130.0,128.0,89.0,165.0,11.78,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,0
2603000010610,0.0066555,0.0,0.0,0.0,0.0,0.0,1.01,0.168333,1.01,172.0,163.0,122.0,203.0,11.72,0.0,0.0,0.0,0.0,0.0,0.0,3330.0,1
2603000010625,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.084286,0.59,101.0,102.0,95.0,103.0,15.03,0.0,0.0,0.0,0.0,0.0,0.0,5725.0,0
260300001063A,0.011742,0.0,0.0,0.0,0.014925,0.0,1.07,0.18029,1.07,331.0,271.0,190.0,478.0,10.22,0.0,0.0,0.0,0.0,0.0,0.0,1308.0,0
2603000010644,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.078571,0.55,54.0,55.0,54.0,55.0,15.36,0.0,0.0,0.0,0.0,0.0,0.0,4860.0,1
2603000010659,0.0,0.0,0.0,0.0,0.014925,0.0,0.57,0.114,0.57,23.0,25.0,23.0,26.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0,4860.0,0
2603000010663,0.492647,0.323529,0.051471,0.058824,0.477941,0.227941,1.69,0.474622,1.69,22.0,60.0,9.0,116.0,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010678,0.0066555,0.0,0.0,0.0,0.0,0.0,0.85,0.141667,0.85,244.0,245.0,223.0,278.0,13.63,0.0,0.0,0.0,0.0,0.0,0.0,3155.0,1
2603000010682,0.5,0.0,0.9,0.0,0.5,0.5,1.25,0.73,1.25,0.0,218.0,159.0,309.0,7.38,0.0,0.0,0.0,0.0,0.0,0.0,2865.0,1
2603000010697,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.09,0.63,82.0,80.0,78.0,84.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,4160.0,0
260300001070A,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.62,0.124,0.62,246.0,246.0,234.0,256.0,14.71,0.0,1.0,0.0,0.0,0.0,0.0,3853.0,0
2603000010714,0.052632,0.0,0.0,0.0,0.0,0.0,0.63,0.097519,0.63,97.0,97.0,94.0,98.0,15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603000010729,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.85,0.17,0.85,243.0,252.0,203.0,326.0,12.75,0.0,0.0,0.0,0.0,0.0,0.0,1371.0,0
2603000010733,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010748,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.131429,0.92,18.0,19.0,19.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603000010752,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010767,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2603000010771,0.888889,0.555556,0.833333,0.166667,0.333333,0.777778,1.21,0.680794,1.21,0.0,11.0,159.0,5.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010786,0.659091,0.159091,0.113636,0.159091,0.5,0.204545,2.02,0.545065,2.02,223.0,15.0,159.0,27.0,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603000010790,0.205479,0.027397,0.006849,0.02968,0.23516,0.125571,1.42,0.292877,1.42,46.0,155.0,65.0,402.0,8.12,0.0,3.0,0.0,0.0,0.0,0.0,856.0,0
2603000010803,0.569579,0.084142,0.038835,0.035599,0.427184,0.278317,1.68,0.444808,1.68,19.0,86.0,6.0,202.0,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2603000010818,0.0066555,0.0,0.0,0.0,0.014925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
