ZONA,"COLONIA, SECTOR O BARRIO",VALOR CATASTRAL UNITARIO ($/MÏ)
1A,UNIVERSIDAD DE SONORA,"$2,333.00"
1A,VALLE HERMOSO,"$2,333.00"
1B,CENTENARIO,"$4,322.00"
1C,LAS PALMAS,"$3,859.00"
1D,CENTRO,"$2,948.00"
1E,EL MALECON,"$2,382.00"
1F,SAN BENITO,"$2,294.00"
1G,CERRO DE LA CAMPANA,"$2,245.00"
1H,EL MARIACHI,"$1,935.00"
1I,CENTENARIO,"$4,873.00"
1J,CENTRO,"$2,453.00"
1K,CENTRO,"$2,120.00"
2A,COUNTRY CLUB ,$681.00
2A,EL MARIACHI,$681.00
2A,CAæADA DE LOS NEGROS,$681.00
2A,CENTRO,$681.00
2A,COLOSO,$681.00
2B,EL MARIACHI,"$1,056.00"
2C,CAæADA DE LOS NEGROS,$894.00
2C,CENTRO,$894.00
2D,5 DE MAYO ,$681.00
2E,CHINO ABELARDO,"$1,815.00"
2F,5 DE MAYO,"$1,575.00"
2F,COUNTRY CLUB ,"$1,575.00"
2G,SAN BENITO,"$2,938.00"
2H,CENTRO,"$2,289.00"
2I,SAN BENITO,"$2,971.00"
2J,COUNTRY CLUB II,"$3,216.00"
2K,CRUZ GALVEZ,"$3,041.00"
2L,CONDOMINIOS SKY PITIC,"$7,428.00"
3A,PITIC,"$6,637.00"
3A,PERIODISTA,"$6,637.00"
3B,PITIC ,"$6,573.00"
3C,PITIC ,"$6,079.00"
3D,PITIC ,"$7,042.00"
3E,PITIC ,"$2,349.00"
3F,PERIODISTA,"$3,822.00"
3G,PERIODISTA,"$2,741.00"
3H,SECTOR SIN LOTIFICAR,$512.00
3I,"ALATORRE 1122, MANZANA","$6,382.00"
3J,"ALATORRE 1122, TORRE ESTE","$12,105.00"
3K,PARKVIEW,"$14,584.00"
3L,AMBAR,"$15,139.00"
4A,BALDERRAMA,"$1,967.00"
4B,PIMENTEL,"$1,733.00"
4B,OLIVARES,"$1,733.00"
4C,BALDERRAMA,"$1,831.00"
